instance_key,customer_account,customer_name,report_name,report_id,run_http_status,run_api_status,identifier,run_status_message,run_retries,db_updated,fetch_http_status,fetch_api_status,fetch_status_message,fetch_retries,rows_fetched,file_written
enhance_health,10028395,CK FAMILY THERAPY,AR_AGING,10078378,200,SUCCESS,14502667,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,0,TRUE,200,SUCCESS,Results successfully retrieved.,0,15583,TRUE
vantage,10031998,1 SOLUTION WELLNESS,AR_AGING,10062054,200,SUCCESS,14502668,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,0,TRUE,200,SUCCESS,Results successfully retrieved.,0,2333,TRUE
vantage,10032271,AMITY SAN DIEGO,AR_AGING,10062054,200,SUCCESS,14502677,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,SUCCESS,Results successfully retrieved.,0,2447,TRUE
enhance_health,10026936,EDEN BY ENHANCE,AR_AGING,10078378,200,SUCCESS,14502682,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,2,TRUE,200,SUCCESS,Results successfully retrieved.,0,4252,TRUE
vantage,10032272,NORTHRIDGE ADDICTION TREATMENT CENTERS,AR_AGING,10062054,200,SUCCESS,14502683,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,SUCCESS,Results successfully retrieved.,0,278,TRUE
enhance_health,10026716,"EMBRACE TREATMENT, LLC",AR_AGING,10078378,200,SUCCESS,14502690,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,SUCCESS,Results successfully retrieved.,0,5363,TRUE
vantage,10034661,PASSAGE TO RECOVERY,AR_AGING,10062054,200,SUCCESS,14502692,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,SUCCESS,Results successfully retrieved.,0,696,TRUE
enhance_health,10023994,"ENHANCE HEALTH GROUP, LLC",AR_AGING,10078378,200,SUCCESS,14502697,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,SUCCESS,Results successfully retrieved.,0,82577,TRUE
vantage,10034812,SAN DIEGO WELLNESS,AR_AGING,10062054,200,SUCCESS,14502698,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,SUCCESS,Results successfully retrieved.,0,539,TRUE
vantage,10034187,THE TRINITY WELLNESS GROUP,AR_AGING,10062054,200,SUCCESS,14502705,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,SUCCESS,Results successfully retrieved.,0,651,TRUE
vantage,10032876,AMITY PALM BEACH,AR_AGING,10062054,200,SUCCESS,14502713,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,SUCCESS,Results successfully retrieved.,0,2008,TRUE
vantage,10035136,LIAH WELLNESS CENTER LLC,AR_AGING,10062054,200,SUCCESS,14502718,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,SUCCESS,Results successfully retrieved.,0,409,TRUE
vantage,10035138,LIAH WELLNESS SERVICES PLLC,AR_AGING,10062054,200,SUCCESS,14502724,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,NO_DATA,"The report completed successfully, but no records were found matching the criteria used.",0,0,TRUE
vantage,10035139,THE BRIDGES OF HOUSTON LLC,AR_AGING,10062054,200,SUCCESS,14502725,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,0,TRUE,200,SUCCESS,Results successfully retrieved.,0,379,TRUE
vantage,10031998,1 SOLUTION WELLNESS,CHARGES_ON_HOLD,10083396,200,SUCCESS,14502730,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,SUCCESS,Results successfully retrieved.,0,5131,TRUE
vantage,10032271,AMITY SAN DIEGO,CHARGES_ON_HOLD,10083396,200,SUCCESS,14502753,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,3,TRUE,200,SUCCESS,Results successfully retrieved.,0,5027,TRUE
enhance_health,10026559,10026559,AR_AGING,10078378,200,SUCCESS,14502760,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,10,TRUE,200,SUCCESS,Results successfully retrieved.,0,8399,TRUE
enhance_health,10028395,CK FAMILY THERAPY,GROSS_BILLING,10078486,200,SUCCESS,14502763,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,SUCCESS,Results successfully retrieved.,0,15184,TRUE
vantage,10032272,NORTHRIDGE ADDICTION TREATMENT CENTERS,CHARGES_ON_HOLD,10083396,200,SUCCESS,14502767,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,3,TRUE,200,SUCCESS,Results successfully retrieved.,0,605,TRUE
vantage,10034661,PASSAGE TO RECOVERY,CHARGES_ON_HOLD,10083396,200,SUCCESS,14502770,Your report has been started. Use the provided identifier to see if the report is finished and retrieve the results.,1,TRUE,200,SUCCESS,Results successfully retrieved.,0,1208,TRUE
