STATUS	DISPLAY_TEXT	DELETED	LAST_UPDATE	CUSTNO	DUETO	IS_INSURANCE	ORDER_INDEX	UPDATE_USER	CREATE_USER	ENTERED	DEL_USER	DEL_DATE
10109852	BILLING HOLD-INTERIM BILLING	N	03/19/2025 10:45:32	10031998	I	N	12	stephaniereveloop	shamika.vantage	03/05/2025 15:36:28		
10109657	APPEAL CONFIRMED AT %s	N	03/19/2025 10:45:32	10031998	I	Y	2	stephaniereveloop	shamika.vantage	03/02/2025 20:09:11		
10109625	BILLING HOLD-PENDING AUTH	N	03/19/2025 10:45:32	10031998	I	N	13	stephaniereveloop	shamika.vantage	03/02/2025 20:09:11		
10109626	BILLING HOLD-REVIEW	N	03/19/2025 10:45:32	10031998	I	N	14	stephaniereveloop	shamika.vantage	03/02/2025 20:09:11		
10109632	BILLING HOLD-HOURS	N	03/19/2025 10:45:32	10031998	I	N	11	stephaniereveloop	shamika.vantage	03/02/2025 20:09:11		
10109656	BILLING HOLD-AUTH APPEAL IN PROCESS	N	03/19/2025 10:45:32	10031998	I	N	9	stephaniereveloop	shamika.vantage	03/02/2025 20:09:11		
10109636	CREDENTIALING ISSUE RESOLVED AT %s	N	03/19/2025 10:45:32	10031998	I	Y	21	stephaniereveloop	shamika.vantage	03/02/2025 20:09:11		
10109618	DENIED-AUDIT AT %s	N	03/19/2025 10:45:32	10031998	I	Y	23	stephaniereveloop	shamika.vantage	03/02/2025 20:09:11		
10109624	DENIED-NOT COVERED BY THIS PAYOR-CONTRACTOR	N	03/19/2025 10:45:32	10031998	I	N	32	stephaniereveloop	shamika.vantage	03/02/2025 20:09:11		
10109635	DENIED-POLICY TERMINATED AT %s	N	03/19/2025 10:45:32	10031998	I	Y	33	stephaniereveloop	shamika.vantage	03/02/2025 20:09:11		
10109639	DENIED-COORDINATION OF BENEFITS AT %s	N	03/19/2025 10:45:32	10031998	I	Y	25	stephaniereveloop	shamika.vantage	03/02/2025 20:09:11		
