PROVSEQ	PAYORSEQ	CUSTNO	ID	GRPID	OLDPROVID	OLDGRPID	LOCATION	CLAIM_PROCESS	ACCEPTASSIGN	PROVMODE	BILLING_PROVIDER_OVERRIDE
10192687	13304484	10032272					0	0	Y		0
10192686	13304484	10032272					0	0	Y		0
10192686	13302796	10032272					0	0	Y		0
10192687	13302796	10032272					0	0	Y		0
10189507	13291277	10031998					0	0	Y		0
10190062	13291277	10031998					0	0	Y		0
10190064	13291277	10031998					0	0	Y		0
10189507	13297188	10031998					0	0	Y		0
10190062	13297188	10031998					0	0	Y		0
10190064	13297188	10031998					0	0	Y		0
10190065	13297188	10031998					0	0	Y		0
10189507	13292944	10031998					0	0	Y		0
10190062	13292944	10031998					0	0	Y		0
10190064	13292944	10031998					0	0	Y		0
10190065	13292944	10031998					0	0	Y		0
10189507	13293876	10031998					0	0	Y		0
10190062	13293876	10031998					0	0	Y		0
10190064	13293876	10031998					0	0	Y		0
10190065	13293876	10031998					0	0	Y		0
10189507	13291275	10031998					0	0	Y		0
10190062	13291275	10031998					0	0	Y		0
10190064	13291275	10031998					0	0	Y		0
10190065	13291275	10031998					0	0	Y		0
10189507	13294555	10031998					0	0	Y		0
10190062	13294555	10031998					0	0	Y		0
10190064	13294555	10031998					0	0	Y		0
10190065	13294555	10031998					0	0	Y		0
10189507	13291272	10031998					0	0	Y		0
10190062	13291272	10031998					0	0	Y		0
10190064	13291272	10031998					0	0	Y		0
10190065	13291272	10031998					0	0	Y		0
10190065	13291277	10031998					0	0	Y		0
10189507	13298179	10031998					0	0	Y		0
10190065	13298179	10031998					0	0	Y		0
10190062	13298179	10031998					0	0	Y		0
10190064	13298179	10031998					0	0	Y		0
10192273	13301568	10032172					0	0	Y		0
10192274	13301568	10032172					0	0	Y		0
10192275	13301568	10032172					0	0	Y		0
10192276	13301568	10032172					0	0	Y		0
10192273	13299847	10032172					0	0	Y		0
10192274	13299847	10032172					0	0	Y		0
10192275	13299847	10032172					0	0	Y		0
10192276	13299847	10032172					0	0	Y		0
10192273	13299851	10032172					0	0	Y		0
10192274	13299851	10032172					0	0	Y		0
10192275	13299851	10032172					0	0	Y		0
10192276	13299851	10032172					0	0	Y		0
10192513	13302778	10032271					0	0	Y		0
10192512	13302778	10032271					0	0	Y		0
10192513	13302782	10032271					0	0	Y		0
10192512	13302782	10032271					0	0	Y		0
10192512	13302785	10032271					0	0	Y		0
10192513	13302785	10032271					0	0	Y		0
10192686	13302795	10032272					0	0	Y		0
10192687	13302795	10032272					0	0	Y		0
10192687	13302797	10032272					0	0	Y		0
10192686	13302797	10032272					0	0	Y		0
10192687	13302798	10032272					0	0	Y		0
10192686	13302798	10032272					0	0	Y		0
10192687	13303017	10032272					0	0	Y		0
10192686	13303017	10032272					0	0	Y		0
10192687	13303139	10032272					0	0	Y		0
10192686	13303139	10032272					0	0	Y		0
10192512	13303659	10032271					0	0	Y		0
10192513	13303659	10032271					0	0	Y		0
